,Arrests,BusShelters,Restaurants,Landmarks,Count Blue Collar,Count White Collar
QN21,47.0,7.0,82.0,0.0,7460.0,11091.0
QN22,404.0,35.0,299.0,20.0,16204.0,17489.0
QN23,42.0,15.0,66.0,3.0,5959.0,5587.0
QN25,119.0,18.0,74.0,2.0,14716.0,11085.0
QN26,167.0,3.0,271.0,2.0,18410.0,8165.0
QN27,68.0,14.0,60.0,0.0,6027.0,5308.0
QN28,416.0,26.0,820.0,698.0,27308.0,25490.0
QN29,412.0,21.0,400.0,4.0,23921.0,17307.0
QN30,75.0,16.0,97.0,1.0,6465.0,6921.0
QN31,264.0,47.0,701.0,711.0,15431.0,18821.0
QN33,28.0,8.0,0.0,0.0,2989.0,6924.0
QN34,331.0,20.0,11.0,0.0,11456.0,17459.0
QN35,70.0,17.0,23.0,1.0,7665.0,11134.0
QN37,39.0,32.0,52.0,0.0,5103.0,10846.0
QN38,289.0,33.0,3.0,0.0,5992.0,8054.0
QN41,17.0,14.0,43.0,2.0,3228.0,5004.0
QN42,10.0,15.0,1.0,0.0,5244.0,8194.0
QN43,27.0,15.0,14.0,1.0,4896.0,7259.0
QN44,11.0,9.0,14.0,0.0,3936.0,6536.0
QN45,17.0,4.0,66.0,1088.0,4456.0,8306.0
QN46,107.0,13.0,270.0,10.0,9330.0,12642.0
QN47,11.0,20.0,7.0,134.0,3932.0,6636.0
QN48,16.0,14.0,15.0,0.0,3577.0,5787.0
QN49,49.0,11.0,57.0,1.0,6306.0,8418.0
QN50,41.0,4.0,140.0,1.0,7497.0,5274.0
QN51,45.0,22.0,384.0,2.0,11275.0,13706.0
QN52,20.0,9.0,22.0,0.0,6002.0,6809.0
QN53,76.0,17.0,124.0,0.0,12361.0,14630.0
QN54,488.0,34.0,167.0,3.0,15486.0,15125.0
QN55,203.0,20.0,160.0,0.0,17940.0,19844.0
QN56,58.0,10.0,27.0,0.0,4795.0,5279.0
QN57,39.0,10.0,26.0,0.0,5208.0,7746.0
QN60,63.0,13.0,18.0,1.0,3914.0,8183.0
QN61,606.0,34.0,115.0,19.0,11083.0,11594.0
QN62,26.0,11.0,8.0,0.0,4630.0,4887.0
QN63,74.0,17.0,274.0,1.0,10693.0,12519.0
QN66,69.0,9.0,8.0,0.0,3781.0,8158.0
QN68,193.0,18.0,114.0,5.0,3619.0,4188.0
QN70,195.0,44.0,1439.0,2.0,18080.0,24644.0
QN71,97.0,13.0,180.0,1.0,6944.0,7287.0
QN72,297.0,32.0,402.0,3.0,11600.0,15106.0
QN76,273.0,13.0,8.0,1.0,6072.0,9363.0
QN98,3.0,0.0,0.0,4.0,0.0,0.0
QN99,74.0,28.0,3.0,13.0,37.0,137.0
SI01,39.0,12.0,11.0,9.0,4505.0,8853.0
SI05,60.0,20.0,13.0,75.0,6020.0,11389.0
SI07,28.0,9.0,3.0,3.0,3454.0,7757.0
SI08,66.0,8.0,0.0,79.0,3326.0,7170.0
SI11,130.0,2.0,44.0,29.0,3905.0,6506.0
SI12,373.0,16.0,0.0,3.0,4511.0,7978.0
SI14,36.0,11.0,0.0,4.0,2190.0,4154.0
SI22,466.0,21.0,25.0,147.0,4077.0,8432.0
SI24,75.0,10.0,10.0,112.0,5545.0,9257.0
SI25,29.0,11.0,4.0,2.0,3387.0,6569.0
SI28,78.0,5.0,21.0,6.0,3302.0,4755.0
SI32,26.0,1.0,0.0,5.0,3637.0,5543.0
SI35,45.0,7.0,32.0,4.0,2414.0,5469.0
SI36,55.0,14.0,16.0,1.0,4149.0,6507.0
SI37,138.0,25.0,78.0,90.0,4392.0,6586.0
SI45,167.0,23.0,55.0,1.0,3290.0,6261.0
SI48,18.0,4.0,0.0,0.0,4273.0,7628.0
SI54,46.0,13.0,33.0,1.0,6628.0,13168.0
SI99,0.0,4.0,0.0,0.0,0.0,0.0
