,Arrests,BusShelters,Restaurants,Landmarks,Count Blue Collar
QN12,256.0,21.0,20.0,0.0,4299.0
QN15,304.0,9.0,0.0,3.0,7147.0
QN17,280.0,31.0,444.0,2.0,12695.0
QN18,73.0,20.0,39.0,1.0,4614.0
QN19,65.0,12.0,19.0,0.0,6258.0
QN20,339.0,21.0,426.0,1366.0,16616.0
QN21,47.0,7.0,82.0,0.0,7460.0
QN22,404.0,35.0,299.0,20.0,16204.0
QN23,42.0,15.0,66.0,3.0,5959.0
QN25,119.0,18.0,74.0,2.0,14716.0
QN26,167.0,3.0,271.0,2.0,18410.0
QN27,68.0,14.0,60.0,0.0,6027.0
QN28,416.0,26.0,820.0,698.0,27308.0
QN29,412.0,21.0,400.0,4.0,23921.0
QN30,75.0,16.0,97.0,1.0,6465.0
QN31,264.0,47.0,701.0,711.0,15431.0
QN33,28.0,8.0,0.0,0.0,2989.0
QN34,331.0,20.0,11.0,0.0,11456.0
QN35,70.0,17.0,23.0,1.0,7665.0
QN37,39.0,32.0,52.0,0.0,5103.0
QN38,289.0,33.0,3.0,0.0,5992.0
QN41,17.0,14.0,43.0,2.0,3228.0
QN42,10.0,15.0,1.0,0.0,5244.0
QN43,27.0,15.0,14.0,1.0,4896.0
QN44,11.0,9.0,14.0,0.0,3936.0
QN45,17.0,4.0,66.0,1088.0,4456.0
QN46,107.0,13.0,270.0,10.0,9330.0
QN47,11.0,20.0,7.0,134.0,3932.0
QN48,16.0,14.0,15.0,0.0,3577.0
QN49,49.0,11.0,57.0,1.0,6306.0
QN50,41.0,4.0,140.0,1.0,7497.0
QN51,45.0,22.0,384.0,2.0,11275.0
QN52,20.0,9.0,22.0,0.0,6002.0
QN53,76.0,17.0,124.0,0.0,12361.0
QN54,488.0,34.0,167.0,3.0,15486.0
QN55,203.0,20.0,160.0,0.0,17940.0
QN56,58.0,10.0,27.0,0.0,4795.0
QN57,39.0,10.0,26.0,0.0,5208.0
QN60,63.0,13.0,18.0,1.0,3914.0
QN61,606.0,34.0,115.0,19.0,11083.0
QN62,26.0,11.0,8.0,0.0,4630.0
QN63,74.0,17.0,274.0,1.0,10693.0
QN66,69.0,9.0,8.0,0.0,3781.0
QN68,193.0,18.0,114.0,5.0,3619.0
QN70,195.0,44.0,1439.0,2.0,18080.0
QN71,97.0,13.0,180.0,1.0,6944.0
QN72,297.0,32.0,402.0,3.0,11600.0
QN76,273.0,13.0,8.0,1.0,6072.0
QN98,3.0,0.0,0.0,4.0,0.0
QN99,74.0,28.0,3.0,13.0,37.0
SI01,39.0,12.0,11.0,9.0,4505.0
SI05,60.0,20.0,13.0,75.0,6020.0
